Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:43:44.7581883+03:00,
ExperimentId,20381e30-b1fb-406c-986d-967738505551,
RunLabel,G-H-01,
ExperimentStartedAtLocal,2026-08-29T21:43:13.8382411+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Grain,
Recipe,Hard,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,58,degC
PressureSetpoint,25,kPa
AutomaticFanSetpoint,90,%
RecipeTemperatureSetpoint,58,degC
RecipePressureSetpoint,25,kPa
RecipeFanSpeed,90,%
MaximumAllowedTemperature,60,degC
InitialWetMass,20,kg
DryMass,15,kg
InitialMoistureWetBasis,25,% wb
TargetMoistureWetBasis,13,% wb
DryingCoefficient,0.5,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
13,13,Preheating,12.9,600,20.8,20.9567620087,19.9,19.9580437313,58,101.3,101.3,101.3,0,24.9954480058,0.3332524139,9.084126838,60.5703164925,0.9996715623,180,0.0172106354,0.0000764824,0.0196805556,0.0012137915,0.0616746542,1.5024823292,0.0055348093,0,0,0,-0,100,0,0,90,false,false,false
14,14,Preheating,13.9,600,20.9,21.0288845793,20,19.9573715226,58,101.3,101.3,101.3,0,24.9951656649,0.3332473951,9.1473104246,61.1375831733,0.999651192,180,0.0167220504,0.0000743106,0.0211944444,0.0012890729,0.060821266,1.5232917404,0.0056100908,0,0,0,-0,100,0,0,90,false,false,false
15,15,Preheating,14.9,600,20.8,21.1008035378,20,19.9570323867,58,101.3,101.3,101.3,0,24.9948913081,0.3332425183,9.2082018421,61.676818617,0.9996313979,180,0.0162506957,0.0000722155,0.0227083333,0.0013622251,0.0599878927,1.5435317849,0.0056832429,0,0,0,-0,100,0,0,90,false,false,false
16,16,Preheating,15.9,600,21,21.1725202183,20,19.9570208505,58,101.3,101.3,101.3,0,24.9946246551,0.3332377785,9.2669059933,62.1891747286,0.9996121598,180,0.0157958219,0.0000701936,0.0242222222,0.0014333226,0.0591738684,1.5632223158,0.0057543404,0,0,0,-0,100,0,0,90,false,false,false
17,17,Preheating,16.9,600,21.1,21.2440359387,19.9,19.9573316264,58,101.2,101.3,101.3,0.0987166831,24.9943654377,0.3332331709,9.3235211055,62.675750184,0.9995934582,180,0.0153567228,0.0000682418,0.0257361111,0.0015024371,0.0583785582,1.5823823316,0.0058234549,0,0,0,0,100,0,0,90,false,false,false
18,18,Preheating,17.9,600,21.2,21.3153520013,20,19.9579596029,58,101.3,101.3,101.3,0,24.9941133994,0.3332286909,9.3781392957,63.13759345,0.9995752747,180,0.0149327318,0.0000663573,0.02725,0.001569637,0.0576013567,1.601030025,0.0058906548,0,0,0,0,100,0,0,90,false,false,false
19,19,Preheating,18.9,600,21.1,21.386469693,20,19.9588998347,58,101.3,101.3,101.3,0,24.9938682939,0.3332243341,9.4308470761,63.5757055896,0.9995575915,180,0.0145232191,0.0000645371,0.0287638889,0.0016349879,0.0568416862,1.6191828276,0.0059560058,0,0,0,0,100,0,0,90,false,false,false
20,20,Preheating,19.9,600,21.3,21.457390286,19.9,19.9601475347,58,101.3,101.3,101.3,0,24.9936298857,0.3332200965,9.4817258067,63.9910428711,0.9995403916,180,0.0141275892,0.0000627786,0.0302777778,0.0016985529,0.0560989945,1.6368574522,0.0060195707,0,0,0,0,100,0,0,90,false,false,false
21,21,Preheating,20.9,600,21.3,21.5281150379,19.9,19.9616980655,58,101.3,101.3,101.3,0,24.9933979484,0.3332159739,9.5308521032,64.3845191985,0.9995236586,180,0.0137452783,0.0000610794,0.0317916667,0.0017603921,0.055372754,1.6540699307,0.00608141,0,0,0,0,100,0,0,90,false,false,false
22,22,Preheating,21.9,600,21.3,21.5986451923,20,19.9635469325,58,101.3,101.3,101.3,0,24.993172265,0.3332119624,9.5782982041,64.7570083772,0.9995073769,180,0.0133757523,0.000059437,0.0333055556,0.0018205636,0.0546624598,1.6708356509,0.0061415814,0,0,0,0,100,0,0,90,false,false,false
23,23,Preheating,22.9,600,21.4,21.668981979,20,19.9656897762,58,101.4,101.3,101.3,0,24.9929526272,0.3332080585,9.624132302,65.1093462304,0.9994915315,180,0.013018505,0.0000578491,0.0348194444,0.0018791228,0.0539676286,1.6871693898,0.0062001407,0,0,0,0,100,0,0,90,false,false,false
24,24,Preheating,23.9,600,21.5,21.7391266146,19.9,19.9681223664,58,101.3,101.3,101.3,0,24.9927388347,0.3332042584,9.6684188441,65.4423325768,0.9994761078,180,0.0126730555,0.0000563138,0.0363333333,0.0019361233,0.0532877973,1.7030853451,0.0062571411,0,0,0,0,100,0,0,90,false,false,false
25,25,Preheating,24.9,600,21.7,21.8090803024,20,19.9708405958,58,101.3,101.3,101.3,0,24.9925306951,0.3332005589,9.7112188048,65.7567330816,0.9994610921,180,0.0123389474,0.0000548288,0.0378472222,0.0019916163,0.0526225222,1.7185971644,0.0063126341,0,0,0,0,100,0,0,90,false,false,false
26,26,Preheating,25.9,600,21.6,21.8788442333,20,19.973840474,58,101.3,101.3,101.3,0,24.9923280234,0.3331969566,9.7525899327,66.0532809908,0.9994464709,180,0.0120157469,0.0000533924,0.0393611111,0.0020456512,0.0519713776,1.7337179725,0.006366669,0,0,0,0,100,0,0,90,false,false,false
27,27,Preheating,26.9,600,21.8,21.9484195854,20,19.9771181228,58,101.2,101.3,101.3,0.0987166831,24.9921306416,0.3331934483,9.792586977,66.332678757,0.9994322314,180,0.0117030412,0.0000520026,0.040875,0.0020982754,0.0513339548,1.7484603976,0.0064192932,0,0,0,0,100,0,0,90,false,false,false
28,28,Preheating,27.9,600,21.8,22.017807525,20,19.9806697707,58,101.3,101.3,101.3,0,24.9919383785,0.333190031,9.8312618927,66.5955995661,0.9994183612,180,0.0114004373,0.0000506577,0.0423888889,0.0021495347,0.0507098615,1.7628365946,0.0064705525,0,0,0,0,100,0,0,90,false,false,false
