Experiment Metadata
Parameter,Value,Unit
CsvSchemaVersion,2,
ExportedAtLocal,2026-08-29T21:21:28.9616717+03:00,
ExperimentId,5e0fd802-4284-4709-b796-bd80d5132cf4,
RunLabel,W-N-01,
ExperimentStartedAtLocal,2026-08-29T21:20:22.7835320+03:00,
ProgramVersion,1.0.0+15f28c6deb778a6b35e1c057af9e08980d5f2085,
Material,Wood,
Recipe,Normal,
OperationMode,Auto,
TemperatureControlMode,PID,
TemperatureSetpoint,60,degC
PressureSetpoint,30,kPa
AutomaticFanSetpoint,70,%
RecipeTemperatureSetpoint,60,degC
RecipePressureSetpoint,30,kPa
RecipeFanSpeed,70,%
MaximumAllowedTemperature,80,degC
InitialWetMass,15,kg
DryMass,7.5,kg
InitialMoistureWetBasis,50,% wb
TargetMoistureWetBasis,12,% wb
DryingCoefficient,0.3,-
TemperaturePID_Kp,8.5,%/°C
TemperaturePID_Ki,1.2,%/(°C·s)
TemperaturePID_Kd,0.7,%·s/°C
TemperaturePID_DerivativeFilterTimeConstant,5,s
PressurePI_Kp,4,%/kPa
PressurePI_Ki,0.15,%/(kPa·s)
ModelStep,0.1,s
ControllerStep,0.1,s
TrendSampleInterval,1,s
SimulationSpeedAtStart,600,x
AmbientTemperature,20,degC
AmbientPressure,101.3,kPa
AmbientRelativeHumidity,50,%
DisturbanceCount,0,
DisturbanceType,None,
DisturbanceTime,NotApplicable,s

Process Data
SampleNumber,ElapsedTime_s,ProcessStage,StageElapsedTime_s,SimulationSpeedMultiplier,ChamberTemperatureMeasured_C,ChamberTemperatureModel_C,MaterialTemperatureMeasured_C,MaterialTemperatureModel_C,TemperatureSetpoint_C,PressureMeasured_kPa,PressureModel_kPa,PressureSetpoint_kPa,VacuumLevel_pct,MaterialMoisture_wb_pct,MaterialMoisture_db_kg_per_kg,EquilibriumMoisture_wb_pct,AirHumidity_pct,MoistureRatio,AirFlowRate_m3_per_h,DryingRate_wb_pct_per_min,EvaporationRate_kg_per_s,TotalEnergy_kWh,EvaporatedWater_kg,Efficiency_kg_per_kWh,WaterVaporPartialPressure_kPa,WaterVaporMass_kg,PumpedWaterVapor_kg,CondensedWater_kg,AmbientWaterVaporIngress_kg,WaterVaporMassBalanceResidual_kg,HeaterPower_pct,VacuumPumpPower_pct,VentValveOpening_pct,FanSpeed_pct,MoistureTargetReached,SafetyInterlockActive,IsCompleted
13,13,Preheating,12.9,600,20.8,20.9578246696,20,19.9504840076,60,101.3,101.3,101.3,0,49.995665599,0.999826639,6.8894194346,61.5122165865,0.9998148189,140,0.0164632026,0.0000823017,0.0193194444,0.0013002076,0.0673004646,1.5259464114,0.0056212254,0,0,0,-0,100,0,0,70,false,false,false
14,14,Preheating,13.9,600,20.8,21.0301132869,19.9,19.9492536106,60,101.3,101.3,101.3,0,49.9953955468,0.9998158388,6.9415059179,62.1372276153,0.9998032824,140,0.0159925454,0.000079948,0.0208055556,0.0013812088,0.0663865358,1.5483155792,0.0057022266,0,0,0,-0,100,0,0,70,false,false,false
15,15,Preheating,14.9,600,20.8,21.1022097178,20,19.9483620631,60,101.3,101.3,101.3,0,49.9951332069,0.9998053472,6.9916950549,62.7316627945,0.9997920754,140,0.0155362252,0.000077666,0.0222916667,0.0014598958,0.0654906544,1.5700660344,0.0057809137,0,0,0,-0,100,0,0,70,false,false,false
16,16,Preheating,15.9,600,21,21.174115183,20,19.9478040718,60,101.3,101.3,101.3,0,49.9948783443,0.9997951548,7.0400676242,63.2966587351,0.999781188,140,0.0150937979,0.0000754535,0.0237777778,0.0015363393,0.064612402,1.5912164358,0.0058573572,0,0,0,-0,100,0,0,70,false,false,false
17,17,Preheating,16.9,600,21,21.2458308889,20,19.9475744774,60,101.3,101.3,101.3,0,49.9946307315,0.9997852523,7.0866997613,63.8333104477,0.9997706104,140,0.0146648349,0.0000733084,0.0252638889,0.0016106076,0.0637513724,1.6117848712,0.0059316254,0,0,0,-0,100,0,0,70,false,false,false
18,18,Preheating,17.9,600,21.1,21.3173580276,20,19.9476682508,60,101.3,101.3,101.3,0,49.9943901479,0.9997756311,7.1316633242,64.3426729751,0.9997603332,140,0.0142489226,0.0000712286,0.02675,0.0016827668,0.062907171,1.6317888763,0.0060037847,0,0,0,0,100,0,0,70,false,false,false
19,19,Preheating,18.9,600,21.2,21.3886977778,20,19.9480804887,60,101.3,101.3,101.3,0,49.9941563797,0.9997662825,7.1750262229,64.8257629506,0.9997503472,140,0.0138456616,0.0000692121,0.0282361111,0.0017528812,0.0620794142,1.6512454544,0.0060738991,0,0,0,-0,100,0,0,70,false,false,false
20,20,Preheating,19.9,600,21.2,21.4598513047,20,19.9488064091,60,101.2,101.3,101.3,0.0987166831,49.9939292195,0.9997571983,7.2168527151,65.2835600855,0.9997406436,140,0.0134546661,0.000067257,0.0297222222,0.0018210131,0.0612677291,1.6701710942,0.0061420309,0,0,0,-0,100,0,0,70,false,false,false
21,21,Preheating,20.9,600,21.3,21.5308197603,20,19.9498413481,60,101.3,101.3,101.3,0,49.9937084663,0.9997483703,7.257203674,65.7170085896,0.9997312137,140,0.0130755633,0.0000653614,0.0312083333,0.0018872226,0.060471753,1.6885817874,0.0062082405,0,0,0,-0,100,0,0,70,false,false,false
22,22,Preheating,21.9,600,21.5,21.6016042839,20,19.9511807555,60,101.3,101.3,101.3,0,49.9934939254,0.9997397909,7.2961368299,66.1270185292,0.9997220493,140,0.0127079929,0.0000635234,0.0326944444,0.0019515684,0.0596911333,1.7064930451,0.0062725863,0,0,0,-0,100,0,0,70,false,false,false
